LQ144,Pin Name,Type,Level,ADC,DAC,TIM,I2C,USART,UART,SPI,CAN,USB,SWD,FSMC,SDIO,Othr
101,PA9,I/O,FT,,,T1.2,,U1_TX,,,,,,,,
102,PA10,I/O,FT,,,T1.3,,U1_RX,,,,,,,,
103,PA11,I/O,FT,,,T1.4,,U1_CTS,,,CAN_RX,USBDM,,,,
104,PA12,I/O,FT,,,T1_ETR,,U1_RTS,,,CAN_TX,USBDP,,,,
105,PA13,I/O,FT,,,,,,,,,,SWDIO,,,JTMS
106,Not,connected,-,,,,,,,,,,,,,
107,VSS_2,S,VSS_2,,,,,,,,,,,,,
108,VDD_2,S,VDD_2,,,,,,,,,,,,,
109,PA14,I/O,FT,,,,,,,,,,SWCLK,,,JTCK
110,PA15,I/O,FT,,,T2_ETR,,,,SPI3_NSS,,,,,,"JTDI, SPI1_NSS,I2S3_WS"
111,PC10,I/O,FT,,,,,U3_TX,U4_TX,,,,,,SDIO_D2,I2S3_WS
112,PC11,I/O,FT,,,,,U3_RX,U4_RX,,,,,,SDIO_D3,
113,PC12,I/O,FT,,,,,U3_CK,U5_TX,,,,,,SDIO_CK,
114,PD0,I/O,FT,,,,,,,,CAN_RX,,,D2,,OSC_IN
115,PD1,I/O,FT,,,,,,,,CAN_TX,,,D3,,OSC_OUT
116,PD2,I/O,FT,,,T3_ETR,,,U5_RX,,,,,,SDIO_CMD,
117,PD3,I/O,FT,,,,,U2_CTS,,,,,,CLK,,
118,PD4,I/O,FT,,,,,U2_RTS,,,,,,NOE,,
119,PD5,I/O,FT,,,,,U2_TX,,,,,,NEW,,
120,VSS_10,S,VSS_10,,,,,,,,,,,,,
121,VDD_10,S,VDD_10,,,,,,,,,,,,,
122,PD6,I/O,FT,,,,,,,,,,,NWAIT,,
123,PD7,I/O,FT,,,,,,,,,,,NE1,,FSMC_NCE2
124,PG9,I/O,FT,,,,,,,,,,,NE2,,FSMC_NCE3
125,PG10,I/O,FT,,,,,,,,,,,NE3,,FSMC_NCE4_1
126,PG11,I/O,FT,,,,,,,,,,,,,FSMC_NCE4_2
127,PG12,I/O,FT,,,,,,,,,,,NE4,,
128,PG13,I/O,FT,,,,,,,,,,,A24,,
129,PG14,I/O,FT,,,,,,,,,,,A25,,
130,VSS_11,S,VSS_11,,,,,,,,,,,,,
131,VDD_11,S,VDD_11,,,,,,,,,,,,,
132,PG15,I/O,FT,,,,,,,,,,,,,
133,PB3,I/O,FT,,,T2.2,,,,SPI3_SCK,,,,,,"JTDO, I2S3_CK, TraceSWO,SPI1_SCK"
134,PB4,I/O,FT,,,T3.1,,,,SPI3_MISO,,,,,,"NJTRST,SPI1_MISO"
135,PB5,I/O,-,,,T3.2,I2C1_SMBA,,,SPI3_MOSI,,,,,,"I2S3_SD,SPI1_MOSI"
136,PB6,I/O,FT,,,T4.1,I2C1_SCL,U1_TX,,,,,,,,
137,PB7,I/O,FT,,,T4.2,I2C1_SDA,U1_RX,,,,,,NADV,,
138,BOOT0,I,-,,,,,,,,,,,,,Boot0
139,PB8,I/O,FT,,,T4.3,I2C2_SCL,,,,CAN_RX,,,,SDIO_D4,
140,PB9,I/O,FT,,,T4.4,I2C2_SDA,,,,CAN_TX,,,,SDIO_D5,
141,PE0,I/O,FT,,,T4_ETR,,,,,,,,NBL0,,
142,PE1,I/O,FT,,,,,,,,,,,NBL1,,
143,VSS_3,S,VSS_3,,,,,,,,,,,,,
144,VDD_3,S,VDD_3,,,,,,,,,,,,,
